,Machine.Number.x,AnalysisUnit,Match_ID,Class,Order,Family,Genus,Species,IDConfidence,MNI,NISP,Context,Modification,Type,Original.Bib,Taxon.Bib,Comment.x,FaunalSeq,LocSeq.x,Machine.Number.y,Analysis.unit,SiteName,AlternateName,State.prov,County,Site.Number,CodedBy,DateCoded,CodingUpdate,Comment.y,Precision,Quadrangle,QuadSize,Township,Latitude,Longitude,Altitude,Repository,Bibnum,LATDD,LONGDD,RecoveryMethod,DepositionalSystem,DepositionalEnvironment,Facies,Mixing,Group,Formation,Member,Arch.Period,Arch.Epoch,Arch.Age,Arch.Land.Mammal.Age,Arch.Bibnum,Period,Epoch,Age,NALMA,Oxgen.isotope,Magnetochron,RepennMicrotineBioStrat,BellMicirotineBioStrata,MinimumAge,MinimumAge(Years),,MinimunAgeMethod,MaximumAge,MaximunAgeMethod,Millennium,SiteType,Agent,Cultural.Age,Bone.modification,LocSeq.y,DB
172,"1,168.00",Assemblage,1168_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1168,Assemblage,Isleta Cave No. 2,,NM,BERNALILLO,UTEP46,MKR,7/5/91 0:00,,,Q,WIND MESA,7.5,NA,34.52,-106.45,1716,MSB,NA,34.86666667,-106.75,SASC,CV,PT,BS,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,2-Jan,BRUN,,NA,1E-06,1,Present,STRA,0.02,BIOS,NA,PALEO,TR,,,0,f
192,"1,344.00",Assemblage,1344_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1344,Assemblage,Anthony Cave,,NM,DONA ANA,MALB 29,RFS,10/8/91 0:00,,,QP,ANTHONY,7.5,NA,32,-106.3,1555,MALB,NA,32,-106.5,SASC,CV,HZ,AL,P,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,2-Jan,BRUN,,NA,1E-06,1,Present,STRA,0.035,BIOS,NA,PALEO,"RR, NA",,,0,f
252,"1,811.00",Assemblage,1811_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,1811,Assemblage,Thundermug Bone Cave,,IN,MONROE,,MAG,10/8/92 0:00,,,QP,WHITEHALL,7.5,NA,39.7,-86.37,,INSM,NA,39.11666667,-86.61666667,,CV,HZ,BS,Y,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,1E-06,1,Present,STRA,0.01,BIOS,NA,PALEO,RR,,"CG, RG",0,f
289,"2,122.00",Assemblage,2122_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,3,18,NA, ,NA,NA,NA, ,0,0,2122,Assemblage,Sheep Rock Shelter,,PA,HUNTINGTON,36HU1,MKM,8/14/92 0:00,,,QP,HUNTINGTON,7.5,NA,40.22,-79.45,,CMNH,NA,40.36666667,-79.75,,CV,RS,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,4E-04,CULT,NA,CULT,"HH, RR",Susquehannock,,0,f
300,"2,201.00",Assemblage,2201_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,2201,Assemblage,Martin,,PA,FAYETTE,,MAG,8/23/92 0:00,,,QA,OHIOPYLE,7.5,NA,39.45,-79.22,,PA HIST MUS COMM,NA,39.75,-79.36666667,,FL,,FP,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,5E-04,CULT,NA,CULT,HH,,,0,f
301,"2,202.00",Assemblage,2202_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,2202,Assemblage,Phillips,,PA,FAYETTE,,MAG,8/23/92 0:00,,,QA,MASONTOWN,7.5,NA,39.45,-79.52,,PA HIST MUS COMM,NA,39.75,-79.86666667,,AN,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,5E-04,CULT,NA,CULT,,,,0,f
310,"2,224.00",Assemblage,2224_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,2224,Assemblage,41Bx180,,TX,BEXAR,41Bx180,MKM,8/27/92 0:00,,,QA,SAN ANTONIO WEST,7.5,NA,29.22,-98.3,,TX HIST COMM,NA,29.36666667,-98.5,CRSE,AN,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,5E-04,CULT,NA,CULT,HH,Historic,,0,f
320,"2,326.00",Assemblage,2326_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,3,NA, ,NA,NA,NA, ,0,0,2326,Assemblage,Sweetwater Rock Shelter,,GA,DOUGLAS,,MAG,4/2/93 0:00,,,QA,NEBO,7.5,NA,33.45,-84.45,,,NA,33.75,-84.75,,CV,RS,,,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,1E-06,1,Present,BIOS,0.01,BIOS,NA,PALEO,,,,0,f
326,"2,349.00",Assemblage,2349_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,9,NA, ,NA,NA,NA, ,0,0,2349,Assemblage,Echo Cave/Indian Cave,Cantor's Caves,OH,JACKSON,,MKM,8/28/92 0:00,,two caves lumped together,QP,JACKSON,7.5,NA,39,-82.37,,OHSM,NA,39,-82.61666667,,CV,,,Y,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,5-Jan,BRUN,,NA,1E-06,1,Present,BIOS,0.11,BIOS,NA,PALEO,,,,0,f
327,"2,352.00",Assemblage,2352_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,2352,Assemblage,Kettle Hill Cave,,OH,FAIRFIELD,,MKM,8/28/92 0:00,,,QC,CARROLL,7.5,NA,39.45,-82.37,,OHSM,NA,39.75,-82.61666667,,CV,,,,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,1E-06,1,Present,CULT,0.01,CULT,NA,CULT,,Historic,,0,f
