,Machine.Number.x,AnalysisUnit,Match_ID,Class,Order,Family,Genus,Species,IDConfidence,MNI,NISP,Context,Modification,Type,Original.Bib,Taxon.Bib,Comment.x,FaunalSeq,LocSeq.x,Machine.Number.y,Analysis.unit,SiteName,AlternateName,State.prov,County,Site.Number,CodedBy,DateCoded,CodingUpdate,Comment.y,Precision,Quadrangle,QuadSize,Township,Latitude,Longitude,Altitude,Repository,Bibnum,LATDD,LONGDD,RecoveryMethod,DepositionalSystem,DepositionalEnvironment,Facies,Mixing,Group,Formation,Member,Arch.Period,Arch.Epoch,Arch.Age,Arch.Land.Mammal.Age,Arch.Bibnum,Period,Epoch,Age,NALMA,Oxgen.isotope,Magnetochron,RepennMicrotineBioStrat,BellMicirotineBioStrata,MinimumAge,MinimumAge(Years),,MinimunAgeMethod,MaximumAge,MaximunAgeMethod,Millennium,SiteType,Agent,Cultural.Age,Bone.modification,LocSeq.y,DB
91,484,Assemblage,484_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,484,Assemblage,Rock Village,,ND,MERCER,32ME15,MKM,7/30/91 0:00,1/28/92 0:00,,QP,GARRISON DAM N,7.5,NA,47.3,-101.22,,,NA,47.5,-101.3666667,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000105,105,Present,CULT,0.00017,CULT,NA,CULT,HH,Historic; Late Knife River,,0,f
35,118,Assemblage,118_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,118,Assemblage,Fort De Chartres,,IL,RANDOLPH,,RWG,2/20/91 0:00,,,QP,BLOOMSDALE,7.5,NA,38,-90,,,NA,38,-90,,AN,,,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00015,150,Present,CULT,2E-04,CULT,NA,CULT,HH,Historic,HB,0,f
96,602,Assemblage,602_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,3,11,NA, ,NA,NA,NA, ,0,0,602,Assemblage,Prairie Dog Hamlet,,CO,MONTEZUMA,5MT4614,MAG,9/26/91 0:00,,,QA,TRIMBLE POINT,7.5,NA,37.3,-108.3,,UCM,NA,37.5,-108.5,,AN,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00015,150,Present,CULT,0.00155,CULT,NA,CULT,HH,Anasazi,"HB, BT",0,f
224,"1,615.00",Maria de la Cruz House,1615_Maria de la Cruz House,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,1615,Maria de la Cruz House,St. Augustine,,FL,ST. JOHNS,,MKR,6/18/92 0:00,7/29/92 0:00,,QP,SAINT AUGUSTINE,7.5,NA,29.52,-81.15,,FSM,NA,29.86666667,-81.25,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00015,150,Present,CULT,0.00025,CULT,NA,CULT,HH,Spanish Mission,HB,0,f
396,"2,920.00",Assemblage,2920_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,3,NA, ,NA,NA,NA, ,0,0,2920,Assemblage,Fre-1155,,CA,FRESNO,FRE-1155,MAG,2/27/93 0:00,,,QA,FRESNO NORTH,7.5,NA,36.45,-119.45,,,NA,36.75,-119.75,CRSE,AN,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00015,150,Present,CULT,0.00035,CULT,NA,CULT,HH,Protohistoric,,0,f
83,416,Assemblage,416_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,416,Assemblage,Buffalo Pasture,,SD,STANLEY,39ST6,MKM,7/25/91 0:00,1/28/92 0:00,,E,OAHE DAM,7.5,NA,44.2719,-100.2544,,SI-RBS,NA,44.45,-100.4166667,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000155,155,Present,CULT,0.00021,CULT,NA,CULT,HH,Protohistoric; Post Contact Coalescent,,0,f
85,420,Assemblage,420_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,420,Assemblage,Red Horse Hawk,,SD,CORSON,39CO213,MKM,7/25/91 0:00,1/28/92 0:00,,E,MOBRIDGE,7.5,NA,45.3419,-100.2841,,,NA,45.56666667,-100.4666667,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00016,160,Present,CULT,0.00022,CULT,NA,CULT,HH,Protohistoric; Post Contact Coalescent,,0,f
80,399,Assemblage,399_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,399,Assemblage,Spotted Bear,,SD,HUGHES,39HU26,MAG,7/25/91 0:00,1/28/92 0:00,,E,WILLOW CREEK BUTTE,7.5,NA,44.273,-100.2735,432,,NA,44.45,-100.45,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00017,170,Present,CULT,0.000275,CULT,NA,CULT,HH,Historic; Arikara,BT,0,f
82,407,Assemblage,407_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,407,Assemblage,Hitchell,,SD,CHARLES MIX,39CH45,MKM,7/25/91 0:00,1/28/92 0:00,,E,LUCAS SE,7.5,NA,43.1755,-99.012,,SI-RBS,NA,43.28333333,-99.01666667,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00017,170,Present,CULT,0.001215,CULT,NA,CULT,HH,Protohistoric; Post Contact Coalescent; Great Oasis; Woodland,,0,f
92,485,Assemblage,485_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,NA,NA, ,NA,NA,NA, ,0,0,485,Assemblage,Night Walker's Butte,,ND,MCLEAN,32ML39,MKM,7/30/91 0:00,1/28/92 0:00,,QP,RAUB SE,7.5,NA,47.3,-102,,,NA,47.5,-102,,AN,,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00017,170,Present,CULT,0.00025,CULT,NA,CULT,HH,Protohistoric; Early Knife River Phase,,0,f
33,78,Stratum X,78_Stratum X,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,78,Stratum X,Meadowcroft Rockshelter,,PA,WASHINGTON,36WH297,MAG,2/18/91 0:00,2/21/02 0:00,,E,AVELLA,7.5,NA,40.1712,-80.29,259.9,PITT/CMNH,NA,40.28333333,-80.48333333,TOTL,CV,RS,BS,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.000175,175,Present,14CG,0.000685,14CG,NA,CULT,"RR, HH",Late Woodland,"BN, W0",0,f
89,466,Assemblage,466_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,466,Assemblage,Huff,,ND,MORTON,32MO11,MKM,7/30/91 0:00,1/28/92 0:00,,E,HUFF,7.5,NA,46.3708,-100.383,,SI-RBS,NA,46.61666667,-100.6333333,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00018,180,Present,14CG,6E-04,14CG,NA,CULT,HH,Late Prehistoric; Terminal Middle Missouri,,0,f
121,831,Assemblage,831_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,831,Assemblage,Howarth-Nelson,,PA,FAYETTE,36FA40,MAG,3/16/92 0:00,2/21/02 0:00,,E,DAWSON,7.5,NA,40.155,-79.3815,370,PITT,NA,40.01666667,-79.63333333,FLOT,AN,,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00018,180,Present,14CG,0.00053,14CG,NA,CULT,HH,Late Woodland; Late Prehistoric,,0,f
116,809,Assemblage,809_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,2,NA, ,NA,NA,NA, ,0,0,809,Assemblage,Fort Ligonier,,PA,WESTMORELAND,,MAG,3/16/92 0:00,,,QP,LIGONIER,7.5,NA,40.7,-79.07,,FT. LIGONIER,NA,40.11666667,-79.11666667,,AN,,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000184,184,Present,CULT,0.000192,CULT,NA,CULT,HH,Historic,,0,f
109,723,Upper Zone,723_Upper Zone,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,723,Upper Zone,Centipede Cave,,TX,VAL VERDE,41VV190,MAG,12/12/91 0:00,,E.L.L. to send updated faunal list,E,SHUMLA,7.5,NA,29.45,-101.27,,TMM,NA,29.75,-101.45,CRSE,CV,RS,MN,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,2E-04,200,Present,CULT,0.002,CULT,NA,CULT,HH,Woodland; Historic,,0,f
216,"1,560.00",Occupation,1560_Occupation,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,1560,Occupation,Cushing's Site,,FL,COLLIER,,MKR,6/10/92 0:00,,,QP,MARCO ISLAND,7.5,NA,25.52,-81.37,,YPM,NA,25.86666667,-81.61666667,SASC,AN,CU,MN,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,2E-04,200,Present,CULT,0.00125,CULT,NA,CULT,HH,Glades II; Glades III,,0,f
338,"2,408.00",Assemblage,2408_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,NA,NA, ,NA,NA,NA, ,0,0,2408,Assemblage,Fort Shantok,,CT,NEW LONDON,,MKM,9/1/92 0:00,,,QA,MONTVILLE,7.5,NA,41.22,-72.07,,,NA,41.36666667,-72.11666667,,FL,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,2E-04,200,Present,CULT,0.00035,CULT,NA,CULT,HH,,,0,f
335,"2,371.00",Mound B,2371_Mound B,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,2371,Mound B,Fatherland,,MS,ADAMS,,MKM,8/31/92 0:00,,,QP,NATCHEZ,7.5,NA,31.3,-91.22,,MS ST HIST MUS,NA,31.5,-91.36666667,,AN,,MD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000221,221,early-Present,CULT,0.000268,CULT,NA,CULT,HH,Late Mississippian,,0,f
210,"1,429.00",Stratum 4,1429_Stratum 4,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,2,NA, ,NA,NA,NA, ,0,0,1429,Stratum 4,Conaway Shelter,,NV,LINCOLN,26LN126,RFS,12/6/91 0:00,,,E,CALIENTE,7.5,NA,37.32,-114.36,,,NA,37.53333333,-114.6,CRSE,CV,RS,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00023,230,early-Present,14CG,0.00105,14CG,NA,CULT,"NA, HH",Shoshonean; Fremont,"DE, BT",0,f
12,42,Mound C,42_Mound C,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,5,NA, ,NA,NA,NA, ,0,0,42,Mound C,Etowah,,GA,BARTOW,,MAG,1/30/91 0:00,,,E,CENTERSVILLE,7.5,NA,34.5,-84.5,,UNIV GEORGIA,NA,34.08333333,-84.83333333,,AN,,MD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00025,250,early-Present,CULT,0.00345,CULT,NA,CULT,HH,Etowah; Wilbanks; Cherokee,,0,f
174,"1,187.00",Composite Assemblage,1187_Composite Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1187,Composite Assemblage,Awatovi,,AZ,NAVAJO,,MKR,7/17/91 0:00,,,QA,SUN ALTAR,7.5,NA,35.45,-110.15,,HU,NA,35.75,-110.25,SASC,AN,CU,OD,Y,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00025,250,early-Present,CULT,0.00145,CULT,NA,CULT,"HH, NA",Anasazi; Hopi,"TF, LF, HB",0,f
220,"1,584.00",Occupation,1584_Occupation,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1584,Occupation,Waddells Mill Pond,,FL,JACKSON,8JA65,MKR,6/10/92 0:00,,,QP,SILLS,7.5,NA,30.52,-85.15,,FSM,NA,30.86666667,-85.25,SASC,CV,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00025,250,early-Present,CULT,0.00055,CULT,NA,CULT,HH,Fort Walton,,0,f
239,"1,678.00",Assemblage,1678_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,2,NA, ,NA,NA,NA, ,0,0,1678,Assemblage,Fig Springs Mission,,FL,COLUMBIA,8CO1,MKR,7/9/92 0:00,,,QC,LAKE CITY WEST,7.5,NA,30.7,-82.37,,FSM,NA,30.11666667,-82.61666667,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00025,250,early-Present,CULT,0.00045,CULT,NA,CULT,HH,Spanish Mission,HB,0,f
288,"2,118.00",Assemblage,2118_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,2118,Assemblage,Shepard,,MD,MONTGOMERY,18MO3,MKM,8/14/92 0:00,,,QA,POOLSVILLE,7.5,NA,39.7,-77.22,,USNM,NA,39.11666667,-77.36666667,,AN,,MN,Y,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00025,250,early-Present,CULT,0.003,CULT,NA,CULT,HH,Albemarle Pottery Series,BT,0,f
79,382,Assemblage,382_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,382,Assemblage,Hosterman,,SD,POTTER,39PO7,MKM,7/24/91 0:00,,,QA,PATCH SKIN BUTTES SE,7.5,NA,45,-100.15,,SI-RBS,NA,45,-100.25,,AE,LS,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000275,275,early-Present,CULT,4E-04,CULT,NA,CULT,HH,Extended Coalescent,,0,f
81,403,Assemblage,403_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,NA,NA, ,NA,NA,NA, ,0,0,403,Assemblage,Anton Rygh,,SD,CAMPBELL,39CA4,MKM,7/25/91 0:00,1/28/92 0:00,,E,MOBRIDGE NW,7.5,NA,45.39,-100.233,,,NA,45.65,-100.3833333,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000275,275,early-Present,CULT,4E-04,CULT,NA,CULT,HH,Protohistoric; Late Prehistoric,,0,f
76,338,Assemblage,338_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,58,NA, ,NA,NA,NA, ,0,0,338,Assemblage,Buffalo Village,,WV,PUTNAM,46PU31,MKM,7/15/91 0:00,,,E,MOUNT OLIVE,7.5,NA,38.35,-82,,,NA,38.58333333,-82,,AN,,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,3E-04,300,late-Holocene,CULT,3E-04,CULT,NA,CULT,HH,Historic; Fort Ancient,,0,f
84,418,Assemblage,418_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,418,Assemblage,Thomas Riggs,,SD,HUGHES,39HU1,MKM,7/25/91 0:00,3/5/02 0:00,,E,WILLOW CREEK BUTTES,7.5,NA,44.2907,-100.3407,,,NA,44.48333333,-100.5666667,,FL,,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,3E-04,300,late-Holocene,14CG,0.00073,14CG,NA,CULT,HH,Late Prehistoric; Extended Middle Missouri,,0,f
360,"2,591.00",0-20 level,2591_0-20 level,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,7,NA, ,NA,NA,NA, ,0,0,2591,0-20 level,Slone,,KY,PIKE,15PI11,MAG,1/15/93 0:00,,,QP,LICK CREEK,7.5,NA,37.22,-82.15,210,UNIV KY,NA,37.36666667,-82.25,,FL,,FP,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,3E-04,300,late-Holocene,CULT,9E-04,CULT,NA,CULT,"HH, HB",Fort Ancient,,0,f
361,"2,591.00",20-30 level,2591_20-30 level,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,8,NA, ,NA,NA,NA, ,0,0,2591,20-30 level,Slone,,KY,PIKE,15PI11,MAG,1/15/93 0:00,,,QP,LICK CREEK,7.5,NA,37.22,-82.15,210,UNIV KY,NA,37.36666667,-82.25,,FL,,FP,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,3E-04,300,late-Holocene,CULT,9E-04,CULT,NA,CULT,"HH, HB",Fort Ancient,,0,f
362,"2,591.00",30-40 level,2591_30-40 level,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,2591,30-40 level,Slone,,KY,PIKE,15PI11,MAG,1/15/93 0:00,,,QP,LICK CREEK,7.5,NA,37.22,-82.15,210,UNIV KY,NA,37.36666667,-82.25,,FL,,FP,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,3E-04,300,late-Holocene,CULT,9E-04,CULT,NA,CULT,"HH, HB",Fort Ancient,,0,f
26,75,Assemblage,75_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,6,46,NA, ,NA,NA,NA, ,0,0,75,Assemblage,Eschelman,,PA,LANCASTER,36LA12,MAG,2/16/91 0:00,,,QC,LANCASTER,7.5,NA,40,-76.15,,CMNH,NA,40,-76.25,,AN,,MN,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.000325,325,late-Holocene,CULT,0.00035,CULT,NA,CULT,HH,Susquehannock,"HB, PH",0,f
50,156,Area A,156_Area A,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,NA,NA, ,NA,NA,NA, ,0,0,156,Area A,Devil's Mouth,,TX,VAL VERDE,41VV188,MAG,4/28/91 0:00,,,QA,AMISTAD DAM,7.5,NA,29.22,-101,,TMM,NA,29.36666667,-101,,FL,,MN,N,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.0105,CULT,NA,CULT,HH,Paleoindian; Early Archaic; Middle Archaic; Late Archaic,,0,f
51,156,Area B,156_Area B,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,CF,NA,NA,NA, ,NA,NA,NA, ,0,0,156,Area B,Devil's Mouth,,TX,VAL VERDE,41VV188,MAG,4/28/91 0:00,,,QA,AMISTAD DAM,7.5,NA,29.22,-101,,TMM,NA,29.36666667,-101,,FL,,MN,N,,,,NA,NA,WIHO,NA,NA,QUAT,HOPL,WIHO,,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.0105,CULT,NA,CULT,HH,,,0,f
53,162,Operations 2-3,162_Operations 2-3,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,NA,NA, ,NA,NA,NA, ,0,0,162,Operations 2-3,Baker Cave,,TX,VAL VERDE,41VV213,MAG,5/5/91 0:00,,,E,STILL CANYON,7.5,NA,29.59,-101.06,,,NA,29.98333333,-101.1,MESE,CV,RS,,N,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HOLO,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.01,CULT,NA,CULT,HH,,,0,f
120,824,Assemblage,824_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,824,Assemblage,Ryan,,PA,WESTMORELAND,36WM23,MAG,3/16/92 0:00,,,E,SLICKVILLE,7.5,NA,40.2329,-79.3723,,CMNH,NA,40.38333333,-79.61666667,,AN,,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.00105,CULT,NA,CULT,HH,Late Prehistoric; Monongahela; Woodland,,0,f
249,"1,761.00",Assemblage,1761_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1761,Assemblage,Angel Mounds,,IN,VANDERBURG,,MAG,9/21/92 0:00,,,QA,EVANSVILLE NORTH,7.5,NA,38,-87.3,,ANGEL MDS ST PK,NA,38,-87.5,,AN,,MD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.00095,CULT,NA,CULT,"HH, HB",Middle Mississippian,BT,0,f
271,"1,915.00",Assemblage,1915_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,4,21,NA, ,NA,NA,NA, ,0,0,1915,Assemblage,Chucalissa,Fuller/Shelby,TN,SHELBY,40SY1,MAG,10/8/92 0:00,,,E,FLETCHER LAKE,7.5,NA,35.4,-90.08,,UMMA/TN DOC,NA,35.06666667,-90.13333333,,AN,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,14CG,0.00093,14CG,NA,CULT,HH,Mississippian,,0,f
293,"2,142.00",Assemblage,2142_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,2142,Assemblage,Lauderdale,,VA,BOTETOURT,44BO3,MKM,8/25/92 0:00,,,QP,BUCHANAN,7.5,NA,37.3,-79.37,,ARCH SOC VIRG,NA,37.5,-79.61666667,,FL,,TE,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.00045,CULT,NA,CULT,HH,Late Woodland,,0,f
295,"2,159.00",Assemblage,2159_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,7,NA, ,NA,NA,NA, ,0,0,2159,Assemblage,Shannon,,VA,MONTGOMERY,44MY8,MKM,8/26/92 0:00,,,QP,BLACKSBURG,7.5,NA,37.7,-80.22,,ARCH SOC VIRG,NA,37.11666667,-80.36666667,,AN,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,4E-04,CULT,NA,CULT,HH,Woodland,,0,f
305,"2,209.00",Assemblage,2209_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,3,6,NA, ,NA,NA,NA, ,0,0,2209,Assemblage,Garoga,,NY,FULTON,Las 7,MKM,8/27/92 0:00,,,E,LASSELLSVILLE,7.5,NA,43.1,-74.32,276,NYSM,NA,43.01666667,-74.53333333,,AN,,OD,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,4E-04,CULT,NA,CULT,HH,Late Prehistoric,,0,f
332,"2,367.00",Assemblage,2367_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,4,NA, ,NA,NA,NA, ,0,0,2367,Assemblage,Scarem,,PA,WASHINGTON,36WH22,MKM,8/31/92 0:00,,Repositroy: Upper Ohio Valley Arch. Survey/CMNH,QA,CLINTON,7.5,NA,40.22,-80.15,,UPPER OH VALLEY,NA,40.36666667,-80.25,,FL,,TE,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,4E-04,CULT,NA,CULT,HH,Late Prehistoric; Monongahela,BT,0,f
333,"2,368.00",Assemblage,2368_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,12,NA, ,NA,NA,NA, ,0,0,2368,Assemblage,Johnston,,PA,INDIANA,36IN2,MKM,8/31/92 0:00,,,QA,MCINTYRE,7.5,NA,40.3,-79.15,281.1,CMNH,NA,40.5,-79.25,,FL,,TE,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,4E-04,CULT,NA,CULT,"HH, HB",Mississippian; Monongahela; Late Prehistoric,BT,0,f
336,"2,372.00",Assemblage,2372_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,2,12,NA, ,NA,NA,NA, ,0,0,2372,Assemblage,Woodruff Rockshelter,,CT,LITCHFIELD,6LF126,MKM,8/31/92 0:00,,,QP,NEW PRESTON,7.5,NA,41.37,-73.15,,AM. INDIAN ARCH INST,NA,41.61666667,-73.25,FINE,CV,RS,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.00035,350,late-Holocene,CULT,0.00295,CULT,NA,CULT,HH,Woodland,HB,0,f
409,"3,288.00",Assemblage,3288_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,4,NA, ,NA,NA,NA, ,0,0,3288,Assemblage,The Fifield Site,,IN,Porter,Pr-55,BW,6/27/00 0:00,,,QP,Chersterton,7.5,NA,41.3,-87,,ISU,NA,41.5,-87,,AN,,OD,,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,HIST,HOLO,,,,NA,0.00035,350,late-Holocene,CULT,0.00055,CULT,NA,CULT,HH,Fisher Culture,,0,f
277,"1,954.00",Assemblage,1954_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1954,Assemblage,Lawhorn,,AR,CRAIGHEAD,,MAG,10/31/92 0:00,,,E,LEACHVILLE,7.5,NA,35.58,-90.23,72,,NA,35.96666667,-90.38333333,,FL,,,,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,0.000375,375,late-Holocene,14CG,0.00075,14CG,NA,CULT,"HH, HB",,BT,0,f
