spec,longitude,latitude
Urocyon cinereoargenteus,-86.2217768659,32.0575849563
Urocyon cinereoargenteus,-102.6447967063,20.8804763234
Urocyon cinereoargenteus,-118.2704747879,34.1120462688
Urocyon cinereoargenteus,-105.0041449467,39.5369896184
Urocyon cinereoargenteus,-96.572402,29.554224
Urocyon cinereoargenteus,-86.8870710815,15.4277381053
Urocyon cinereoargenteus,-89.6247083,13.8258609
Urocyon cinereoargenteus,-109.9938752374,24.0930723079
Urocyon cinereoargenteus,-90.6835525997,37.5390445997
Urocyon cinereoargenteus,-74.5715263904,41.0780074368
Urocyon cinereoargenteus,-90.2944166449,17.2480122029
Urocyon cinereoargenteus,-98.9548001881,21.984418997
Urocyon cinereoargenteus,-102.0389054328,18.6720902078
Urocyon cinereoargenteus,-81.7155833333,32.4131966667
Urocyon cinereoargenteus,-97.9375502,28.2275275
Urocyon cinereoargenteus,-82.6439003772,34.8612112955
Urocyon cinereoargenteus,-92.252948,14.855219
Urocyon cinereoargenteus,-117.6083216667,34.2458583333
Urocyon cinereoargenteus,-116.6766666667,31.8780883333
Urocyon cinereoargenteus,-99.5673833987,23.4523573773
Urocyon cinereoargenteus,-89.7636324904,31.8975131597
Urocyon cinereoargenteus,-99.0209435603,19.829188008
Urocyon cinereoargenteus,-121.4800693095,35.9508782317
Urocyon cinereoargenteus,-111.9453811646,33.4218139648
Urocyon cinereoargenteus,-77.3734966667,39.0800221667
Urocyon cinereoargenteus,-112.8542462231,37.2201901594
Urocyon cinereoargenteus,-106.2890383333,34.3987083333
Urocyon cinereoargenteus,-100.6439458206,26.044319839
Urocyon cinereoargenteus,-78.7016838398,34.3260637623
Urocyon cinereoargenteus,-80.2297313875,35.3885367011
Urocyon cinereoargenteus,-97.4241623763,35.4314196744
Urocyon cinereoargenteus,-91.1749376357,36.7308125472
Urocyon cinereoargenteus,-78.4782302332,35.7210771019
Urocyon cinereoargenteus,-72.657425,41.7571533333
Urocyon cinereoargenteus,-102.6906389597,21.1979672554
Urocyon cinereoargenteus,-85.9394849944,32.397849491
Urocyon cinereoargenteus,-123.5263460487,42.3673464766
Urocyon cinereoargenteus,-87.3538428918,34.3339550135
Urocyon cinereoargenteus,-79.549153,40.313839
Urocyon cinereoargenteus,-101.5013340488,21.4827597215
Urocyon cinereoargenteus,-70.6271829116,42.6439855994
Urocyon cinereoargenteus,-75.0210340503,44.5292066625
Urocyon cinereoargenteus,-111.4352092704,33.3686655164
Urocyon cinereoargenteus,-119.5572798903,36.4844316985
Urocyon cinereoargenteus,-72.4616544283,44.3412826917
Urocyon cinereoargenteus,-100.0697768459,29.650237132
Urocyon cinereoargenteus,-85.83052,10.2486883333
Urocyon cinereoargenteus,-109.5427383333,30.9696166667
Urocyon cinereoargenteus,-86.1678830534,31.6969474659
Urocyon cinereoargenteus,-105.6885099141,28.1862977655
Urocyon cinereoargenteus,-88.3207645229,18.506897667
Urocyon cinereoargenteus,-83.1696511433,34.265276138
Urocyon cinereoargenteus,-112.037515596,34.177435406
Urocyon cinereoargenteus,-109.9694649722,23.5459719722
Urocyon cinereoargenteus,-104.4892328794,21.2991255059
Urocyon cinereoargenteus,-105.5753797812,28.5151938541
Urocyon cinereoargenteus,-104.8839310103,21.1515595922
Urocyon cinereoargenteus,-117.0047740638,33.0054708808
Urocyon cinereoargenteus,-116.5627513826,32.1336188897
Urocyon cinereoargenteus,-72.2148053527,42.9100813191
Urocyon cinereoargenteus,-90.0605555,33.8783133333
Urocyon cinereoargenteus,-74.1291549303,40.9811266658
Urocyon cinereoargenteus,-94.2436288277,30.580539686
Urocyon cinereoargenteus,-82.7081670946,35.2163292905
Urocyon cinereoargenteus,-111.415181,32.542214
Urocyon cinereoargenteus,-115.0209867629,36.103148985
Urocyon cinereoargenteus,-89.8902564123,16.9412922553
Urocyon cinereoargenteus,-89.5633452336,48.2890186107
Urocyon cinereoargenteus,-118.1122200588,34.3129609096
Urocyon cinereoargenteus,-85.1974648597,41.0610289007
Urocyon cinereoargenteus,-102.4202109459,27.3396484015
Urocyon cinereoargenteus,-74.1840358,41.6056492
Urocyon cinereoargenteus,-99.0177805556,31.859275
Urocyon cinereoargenteus,-123.0675083333,38.3516416667
Urocyon cinereoargenteus,-111.1462678523,30.3295953659
Urocyon cinereoargenteus,-77.7352720159,41.0075600535
Urocyon cinereoargenteus,-103.8442992,20.3867097
Urocyon cinereoargenteus,-81.4115616667,28.08025
Urocyon cinereoargenteus,-96.5540349,17.5332437
Urocyon cinereoargenteus,-88.0957140669,15.5253482277
Urocyon cinereoargenteus,-68.2910407541,44.1015228695
Urocyon cinereoargenteus,-120.8546066667,38.435035
Urocyon cinereoargenteus,-101.330504,20.754481
Urocyon cinereoargenteus,-119.9527902157,35.1247551133
Urocyon cinereoargenteus,-102.0054638833,33.5166666667
Urocyon cinereoargenteus,-88.3480904266,19.1217908126
Urocyon cinereoargenteus,-113.3658079468,32.7970736093
Urocyon cinereoargenteus,-123.4666346975,43.2639848573
Urocyon cinereoargenteus,-111.00588917,32.5299586963
Urocyon cinereoargenteus,-97.968995,32.9239616667
Urocyon cinereoargenteus,-75.751413534,41.0510765725
Urocyon cinereoargenteus,-86.5508116667,31.0863083333
Urocyon cinereoargenteus,-118.1225135922,35.9945251089
Urocyon cinereoargenteus,-98.5445315155,29.8125157436
Urocyon cinereoargenteus,-91.0210886,30.5969061493
Urocyon cinereoargenteus,-106.9442904582,33.8404308608
Urocyon cinereoargenteus,-112.191003,35.249457
Urocyon cinereoargenteus,-85.7164231997,31.5237480997
Urocyon cinereoargenteus,-118.9472844752,34.0702062745
Urocyon cinereoargenteus,-72.1070130625,41.5206863255
Urocyon cinereoargenteus,-122.3869309189,41.3760640686
Urocyon cinereoargenteus,-100.0789189172,28.059396704
Urocyon cinereoargenteus,-108.054651,30.734827
Urocyon cinereoargenteus,-94.0050366944,35.7321946389
Urocyon cinereoargenteus,-94.1907730103,36.0498847961
Urocyon cinereoargenteus,-81.6631703448,26.6549849905
Urocyon cinereoargenteus,-102.6778633333,30.8820866667
Urocyon cinereoargenteus,-96.0037731752,18.8847639119
Urocyon cinereoargenteus,-84.7956888889,10.3026888889
Urocyon cinereoargenteus,-95.7321312733,16.7208652151
Urocyon cinereoargenteus,-109.0412083245,31.3266725015
Urocyon cinereoargenteus,-103.0171882912,37.1359810603
Urocyon cinereoargenteus,-123.515520271,38.7514758082
Urocyon cinereoargenteus,-114.2737472222,34.4324305556
Urocyon cinereoargenteus,-95.8760430291,32.3588105459
Urocyon cinereoargenteus,-105.3768745525,39.923848005
