"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Urocyon&show=coords"
"Access Time","Thu 2023-05-18 04:31:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Urocyon"
"","timerule","major"
"","taxon_status","all"
"","show","coords"
"Elapsed Time","0.00711"
"Records Found","60"
"Records Returned","60"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"740512","occ","22614","","79630","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","31458","-119.516670","34.400002"
"788281","occ","","","85144","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Late Pleistocene","","0.126","0.0117","28649","-110.650002","36.566666"
"839055","occ","","","93141","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Late Pleistocene","","0.126","0.0117","31472","-106.883331","34.883331"
"840447","occ","","","63515","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","31501","-72.239166","10.794722"
"841193","occ","","","93250","Urocyon townsendi","species","161243","recombined as","Urocyon cinereoargenteus townsendi","subspecies","161242","Late Pleistocene","","0.126","0.0117","31524","-122.233330","40.916668"
"841262","occ","","","93258","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Pleistocene","Holocene","2.588","0","31531","-104.883331","31.883333"
"841785","occ","","","93344","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","Holocene","0.126","0","31584","-88.599998","33.683334"
"841997","occ","","","93379","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Late Pleistocene","","0.126","0.0117","31599","-90.366669","38.266666"
"919451","occ","","","104675","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Holocene","","0.0117","0","1461","-78.414719","38.628056"
"919541","occ","","","104689","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","Holocene","0.126","0","1461","-80.679169","37.334721"
"1014130","occ","","","124198","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","39856","-79.295830","38.833332"
"1186501","occ","","","150336","Urocyon californicus","species","453304","subjective synonym of","Urocyon cinereoargenteus","species","44832","Rancholabrean","","0.3","0.012","48793","-118.348892","34.069721"
"1196133","occ","","","154722","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","50316","-80.400002","25.700001"
"1196541","occ","","","74292","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","50339","-80.599998","28.083332"
"1196939","occ","","","154805","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","2451","-82.476387","29.407499"
"1201177","occ","","","155393","Urocyon townsendi","species","161243","recombined as","Urocyon cinereoargenteus townsendi","subspecies","161242","Late Pleistocene","","0.126","0.0117","50711","-122.281998","40.784000"
"1217399","occ","","","20033","Urocyon galushai","species","300802","","Urocyon galushai","species","300802","Blancan","","4.9","1.8","52058","-101.633331","34.883331"
"1217400","occ","","","20415","Urocyon minicephalus","species","52596","","Urocyon minicephalus","species","52596","Irvingtonian","","1.8","0.3","52058","-82.599998","29.400000"
"1223340","occ","","","18554","cf. Urocyon sp.","genus","41247","","Urocyon","genus","41247","Late Clarendonian","","13.6","10.3","25209","-82.516670","29.549999"
"1372386","occ","","","104698","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Calabrian","","1.806","0.781","62831","-76.831390","38.163334"
"1407436","occ","","","63515","Urocyon cf. cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Late Pleistocene","","0.126","0.0117","46993","-72.239166","10.794722"
"1411906","occ","","","195066","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Holocene","","0.0117","0","66327","-82.599998","39.680000"
"1411947","occ","","","195062","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Holocene","","0.0117","0","66327","-82.678001","39.125000"
"1435972","occ","","","200313","Urocyon sp.","genus","41247","","Urocyon","genus","41247","Rancholabrean","","0.3","0.012","35474","-117.066727","33.687550"
"1515300","occ","","","195112","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Rancholabrean","","0.3","0.012","73089","-80.716667","25.950001"
"1570974","occ","","","221863","Urocyon cinereoargenteus","species","52594","","Urocyon cinereoargenteus","species","44832","Holocene","","0.0117","0","77810","-75.607674","44.803844"
